phecode1.2_label	hpo_label	phecode1.2_code	hpo_code
Stricture/obstruction of ureter	Acute tubulointerstitial nephritis	586.4	HP_0004729
Congenital hypothyroidism	Goiter	244.5	HP_0000853
Other symptoms referable to back	Minicore myopathy	724.8	HP_0003789
Other disorders of eye	Triangular nuclear cataract	379	HP_0010699
Dermatophytosis / Dermatomycosis	Disseminated dermatophytosis	110	HP_0032518
Seborrheic dermatitis	Carbuncle	690.1	HP_0020084
Abnormal tumor markers	Elevated carcinoembryonic antigen level	795.8	HP_0031029
Acute pain	Gastrocnemius myalgia	338.1	HP_0031921
Myopathy	Mitochondrial myopathy	359.2	HP_0003737
Other disorders of metabolism	Bilineage myelodysplasia	277	HP_0012149
Gastritis and duodenitis	Peptic ulcer	535	HP_0004398
Thrombocytopenia	Autoimmune thrombocytopenia	287.3	HP_0001973
Pituitary hyperfunction	Pituitary growth hormone cell adenoma	253.1	HP_0011760
Anatomical abnormatilies of kidney and ureters	Intrarenal reflux	586.1	HP_0033742
Pelvic inflammatory disease (PID)	Oophoritis	614.3	HP_0031259
Partial epilepsy	Focal impaired awareness sensory seizure with gustatory features	345.12	HP_0032897
Hereditary disturbances in tooth structure	Generalized hypoplasia of dental enamel	520.1	HP_0006282
Esophagitis, GERD and related diseases	Esophagitis	530.1	HP_0100633
Otitis media and Eustachian tube disorders	Mastoiditis	381	HP_0000265
Color vision deficiencies	Cone monochromacy	368.5	HP_0011517
Disorders of urea cycle metabolism	Argininosuccinic aciduria	270.21	HP_0025630
Hemorrhage NOS	Gastrointestinal hemorrhage	459.1	HP_0002239
Family history	Localized osteoporosis	1100	HP_0040161
Rheumatic disease of the heart valves	Aortic annulus calcification	394	HP_0033538
Hypoglycemia	Hypoglycemic coma	251.1	HP_0001325
Iodine hypothyroidism	Thyroid C cell hyperplasia	244.3	HP_0011781
Retinal vascular changes and abnomalities	Oral cavity telangiectasia	362.4	HP_0000228
Congenital anomalies of upper limb, including shoulder girdle	Brachydactyly	755.4	HP_0001156
Abnormality of gait	Antalgic gait	350.2	HP_0031955
Spinocerebellar disease	Asynergia	334.1	HP_0010869
Other hypertrophic and atrophic conditions of skin	Epidermal hyperkeratosis	701	HP_0007543
Disturbances of amino-acid transport	Hypertyrosinemia	270.1	HP_0003231
Acquired deformities of forearm	Arthropathy	736.1	HP_0003040
Substance addiction and disorders	Demyelinating peripheral neuropathy	316	HP_0007108
Benign neoplasm of adrenal gland	Non-secretory adrenocortical adenoma	227.1	HP_0011745
Other symptoms/disorders or the urinary system	Urocanic aciduria	599	HP_0012237
Congenital anomalies of limbs	Symphalangism of the 4th finger	755	HP_0004197
Abnormal findings examination of lungs	Pulmonary infiltrates	514	HP_0002113
Disorders of carbohydrate transport and metabolism	Decreased small intestinal mucosa lactase level	271	HP_0025130
Spasm of muscle	Contracture of the distal interphalangeal joint of the 4th finger	772.2	HP_0009275
Intracranial hemorrhage (injury)	Fetal intraventricular hemorrhage without ventriculomegaly	818	HP_0034214
Thyroiditis, acute and subacute	Inactivating thyroid-stimulating hormone receptor defect	245.1	HP_0011791
Juvenile osteochondrosis	Lumbar kyphoscoliosis	732.1	HP_0004619
Secondary hypothyroidism	Increased circulating free T3	244.1	HP_0011788
Benign neoplasm of other parts of digestive system	Multiple pancreatic beta-cell adenomas	211	HP_0008194
Exophthalmos	Restrictive external ophthalmoplegia	242.3	HP_0007936
Hereditary disturbances in tooth structure	Microdontia	520.1	HP_0000691
Digestive congenital anomalies	Jejunal atresia	750	HP_0005235
Acute pain	Jaw pain	338.1	HP_0040264
Symptoms affecting skin	Crusting erythematous dermatitis	687	HP_0007473
Develomental delays and disorders	Intellectual disability, progressive	315	HP_0006887
Other endocrine disorders	Neoplasm of the anterior pituitary	259	HP_0011750
Atopic/contact dermatitis due to other or unspecified	Cystic acne	939	HP_0033188
Dyschromia and Vitiligo	Periocular capillary hemangioma	694	HP_0500090
Paralytic strabismus	Double depressor palsy	378.5	HP_0020042
Paroxysmal supraventricular tachycardia	Paroxysmal atrial fibrillation	427.11	HP_0004757
Erythematosquamous dermatosis	Generalized seborrheic dermatitis	690	HP_0007569
Disorders of function of stomach	Abdominal colic	536	HP_0011848
Nephrotic syndrome without mention of glomerulonephritis	Stage 2 chronic kidney disease	580.2	HP_0012624
Disorders of plasma protein metabolism	Increased circulating IgG2 level	270.3	HP_0032299
Hemorrhoids	Hemorrhoids	455	HP_0032551
Other acquired deformities of limbs	Flexion contracture of the 5th toe	736	HP_0010345
Coagulation defects	Palpable purpura	286	HP_0031363
Abnormality of secretion of glucagon or gastrin	Pancreatic squamous cell carcinoma	251.8	HP_0012142
Benign neoplasm of colon	Glucagonoma	208	HP_0030404
Diseases of hair and hair follicles	Cyst of the eyelid	704	HP_0010604
Disorders of refraction and accommodation; blindness and low vision	Latent myopia	367	HP_0500066
Exophthalmos	Static ophthalmoparesis	242.3	HP_0008507
Fracture of vertebral column without mention of spinal cord injury	Fractured lumbar vertebra	805	HP_0041168
Disorders of protein plasma/amino-acid transport and metabolism	Oligoclonal elevation of circulating IgA	270	HP_0032334
Type 1 diabetes with renal manifestations	Diabetic ketoacidosis	250.12	HP_0001953
Spinocerebellar disease	Oral cavity telangiectasia	334.1	HP_0000228
Manlignant and unknown neoplasms of brain and nervous system	Ependymoma	191	HP_0002888
Colon cancer	Pancreatic endocrine tumor	153.2	HP_0030405
Hypothyroidism	Medullary thyroid carcinoma	244	HP_0002865
Hemorrhage from gastrointestinal ulcer	Hematemesis	531.1	HP_0002248
Acute sinusitis	Sinusitis	464	HP_0000246
Congenital anomaly of gallbladder, bile ducts, liver, pancreas	Hypoplasia of the gallbladder	750.22	HP_0005233
Other perinatal conditions of fetus or newborn	Necrotizing pulmonary granulomatosis	656	HP_0033550
Benign neoplasm of skin	Hyperpigmented nevi	216	HP_0007481
Arthropathy associated with infections	Neuropathic arthropathy	711	HP_0002821
Calcaneal spur; Exostosis NOS	Arthropathy	726.4	HP_0003040
Congenital anomalies of face and neck	Cicatricial entropion	749	HP_0031737
Flat foot	Calcaneonavicular fusion	735.1	HP_0008122
Other nondiabetic retinopathy	Retinopathy of prematurity zone I	362.3	HP_0500059
Paralytic ileus	Hyperperistalsis	560.1	HP_0100770
Nontoxic nodular goiter	Abnormality of the thyroid gland	241	HP_0000820
Inflammation of eyelids	Periorbital edema	371.3	HP_0100539
Other perinatal conditions of fetus or newborn	Left ventricular diastolic dysfunction	656	HP_0025168
Congenital anomalies of peripheral vascular system	Hepatic arteriovenous malformation	747.2	HP_0006574
Poisoning by antibiotics	Drug-induced anaphylaxis	960	HP_0410149
Other disorders of liver	Elevated alkaline phosphatase of hepatic origin	573	HP_0010638
Diffuse diseases of connective tissue	Podagra	709	HP_0001854
Pituitary hyperfunction	Thyroid carcinoma	253.1	HP_0002890
Hemorrhage NOS	Intracranial hemorrhage	459.1	HP_0002170
Astigmatism	Lenticular astigmatism	367.2	HP_0031791
Congenital anomaly of fingers/toes	Polydactyly affecting the 3rd finger	755.3	HP_0009958
Other disorders of circulatory system	Gastrointestinal hemorrhage	459	HP_0002239
Arrhythmia (cardiac) NOS	Supraventricular tachycardia with an accessory connection mediated pathway	427.5	HP_0011688
Intracerebral hemorrhage	Subarachnoid hemorrhage	430.2	HP_0002138
Visual disturbances	Centrocecal scotoma	368	HP_0000576
Other demyelinating diseases of central nervous system	Segmental peripheral demyelination	341	HP_0007107
Nonspecific abnormal results of function study of brain and central nervous system	EEG with changes in voltage	346.2	HP_0011201
Senile dementia	Motor deterioration	290.13	HP_0002333
Atopic/contact dermatitis due to other or unspecified	Chilblains	939	HP_0009710
Kyphosis (acquired)	Kyphosis	737.1	HP_0002808
Toxic multinodular goiter	Reduced TSH response to thyrotrophin-releasing hormone stimulation test	242.2	HP_0033082
Benign neoplasm of breast	Multiple central nervous system lipomas	610.4	HP_0100251
Purpura and other hemorrhagic conditions	Fetal intraventricular hemorrhage	287	HP_0034210
Other congenital musculoskeletal anomalies	Neonatal short-trunk short stature	756	HP_0008857
Certain early complications of trauma or procedure	Contracture of the proximal interphalangeal joint of the 5th finger	958	HP_0009185
Other biliary tract disease	Neoplasm of the gallbladder	575	HP_0100575
Epilepsy, recurrent seizures, convulsions	Focal head nodding automatism seizure	345	HP_0032906
Other diseases of blood and blood-forming organs	Biphenotypic acute leukemia	289	HP_0005531
Muscular dystrophies and other myopathies	Myotonia of the upper limb	359	HP_0012903
Strabismus and other disorders of binocular eye movements	Pendular nystagmus	378	HP_0012043
Secondary malignancy of bone	Vagal paraganglioma	198.6	HP_0002886
Sensorineural hearing loss	Severe conductive hearing impairment	389.1	HP_0012717
Congenital anomalies of genital organs	Absent vas deferens	751.1	HP_0012873
Lipoma of skin and subcutaneous tissue	Midline central nervous system lipomas	214.1	HP_0006866
Viral hepatitis A	Interface hepatitis	070.1	HP_0032220
Other heart block	Atrioventricular block	426.25	HP_0001678
Cancer of lip	Oligodendroglioma	145.1	HP_0033681
Other disorders of synovium, tendon, and bursa	Restricted neck movement due to contractures	727	HP_0005997
Femoral hernia	Central diaphragmatic hernia	550.3	HP_0025195
Ectropion or entropion	Entropion	374.1	HP_0000621
Atherosclerosis	Renal artery stenosis	440	HP_0001920
Other specified gastritis	Gastric hypertrophy	535.8	HP_0005207
Coagulation defects	Menorrhagia	286	HP_0000132
Other endocrine disorders	Small intestine carcinoid	259	HP_0006722
Polyclonal hypergammaglobulinemia	Increased hepatitis A virus antibody level	270.31	HP_0410367
Chronic passive congestion of liver	Acute hepatic failure	573.1	HP_0006554
Lung disease due to external agents	Bilateral basilar pulmonary fibrosis	500	HP_0550005
Ill-defined descriptions and complications of heart disease	Fascicular left ventricular tachycardia	429	HP_0031675
Immunity deficiency	Partial absence of specific antibody response to meningococcus vaccine	279.1	HP_0410306
Disorders of the pituitary gland and its hypothalamic control	Anaplastic thyroid carcinoma	253	HP_0011779
Abnormal coagulation profile	Increased factor IX activity	286.9	HP_0033061
Cardiac and circulatory congenital anomalies	Ventricular septal aneurysm	747	HP_0030957
Intestinal helminthiases	Posterior fossa cyst at the fourth ventricle	134.1	HP_0000933
Diabetes mellitus	Retinopathy of prematurity stage 3	250	HP_0500052
Strabismus (not specified as paralytic)	Strabismus	378.1	HP_0000486
Abnormality of gait	Abasia	350.2	HP_0012651
Cardiac and circulatory congenital anomalies	Anomalous origin of left pulmonary artery from ascending aorta	747	HP_0011661
Coagulation defects complicating pregnancy or postpartum	Elevated circulating D-dimer concentration	286.3	HP_0033106
Upper gastrointestinal congenital anomalies	Esophageal food impaction	750.1	HP_0031984
Atherosclerosis	Premature arteriosclerosis	440	HP_0005177
Hypothyroidism	Congenital goiter	244	HP_0008251
Other disorders of eyelids	Anterior cervical hypertrichosis	374	HP_0004535
Convulsions	Focal aware motor seizure with dystonia	345.3	HP_0032723
Congenital anomalies of genital organs	Hypoplasia of the uterus	751.1	HP_0000013
Orthostatic hypotension	Postural hypotension with compensatory tachycardia	458.1	HP_0005307
Other disorders of bone and cartilage	Osteolysis of scaphoids	733	HP_0006202
Spina bifida	Iniencephaly	752.11	HP_0034205
Other disorders of metabolism	Angioedema	277	HP_0100665
Dyschromia and Vitiligo	Generalized hypopigmentation	694	HP_0007513
Degenerative disease of the spinal cord	Amyotrophic lateral sclerosis	334	HP_0007354
Skull and face fracture and other intercranial injury	Fractured distal tarsal bone	819	HP_0041226
Alzheimer's disease	Semantic dementia	290.11	HP_0030219
Hereditary hemolytic anemias	HbC hemoglobin	282	HP_0032146
Symptoms of the muscles	Knee flexion contracture	772	HP_0006380
Malignant neoplasm of liver, primary	Altman type I sacrococcygeal teratoma	155.1	HP_0030737
Myoneural disorders	Sensory axonal neuropathy	358	HP_0003390
Congenital anomalies of limbs	Polydactyly	755	HP_0010442
Interstitial emphysema and related conditions of newborn	Pneumothorax	656.22	HP_0002107
Muscle weakness	Weak grip	772.3	HP_0033466
Gastrointestinal hemorrhage	Intestinal bleeding	578	HP_0002584
Cardiomyopathy	Cardiomyopathy	425	HP_0001638
Acute pain	Mandibular pain	338.1	HP_0200025
Cancer of lip	Glioblastoma multiforme	145.1	HP_0012174
Contracture of palmar fascia [Dupuytren's disease]	Joint contracture of the 5th finger	728.71	HP_0009183
Congenital osteodystrophies	Increased bone mineral density	756.5	HP_0011001
Cerebral cysts	Central nervous system cyst	348.4	HP_0030724
Other non-epithelial cancer of skin	Cutaneous mastocytosis	172.2	HP_0200151
Secondary malignant neoplasm of digestive systems	Multiple pancreatic beta-cell adenomas	198.3	HP_0008194
Other disorders of bladder	Intestinal fistula	596	HP_0100819
Proteinuria	Mild proteinuria	269	HP_0012595
Hyperglyceridemia	Hypertriglyceridemia	272.12	HP_0002155
Congenital anomalies of the integument	Thoracic hypertrichosis	757	HP_0011914
Nontoxic nodular goiter	Abnormal TSH response to thyrotrophin-releasing hormone stimulation test	241	HP_0033080
Conduct disorders	Mobitz I atrioventricular block	312	HP_0011707
Cardiac shunt/ heart septal defect	Subvalvular aortic stenosis	747.11	HP_0001682
Ill-defined descriptions and complications of heart disease	Ventricular preexcitation with multiple accessory pathways	429	HP_0006684
Melanomas of skin, dx or hx	Nevus flammeus of the forehead	172.1	HP_0007413
Thyrotoxicosis with or without goiter	Impaired sensitivity to thyroid hormone	242	HP_0002930
Other acquired deformities of limbs	Polyarticular arthropathy	736	HP_0005195
Other acquired musculoskeletal deformity	Hypoplasia of the zygomatic bone	738	HP_0010669
Certain early complications of trauma or procedure	Contractures of the distal interphalangeal joint of the 5th toe	958	HP_0100355
Vascular disorders of skin	Angiokeratoma	694.3	HP_0001014
Disorders of the pituitary gland and its hypothalamic control	Ectopic thyroid	253	HP_0100028
Hypertensive heart and/or renal disease	Chronic kidney disease	401.2	HP_0012622
Type 2 diabetes with neurological manifestations	Insulin-resistant diabetes mellitus at puberty	250.24	HP_0000877
Alopecia	Telogen effluvium	704.1	HP_0025470
Hereditary disturbances in tooth structure	Dentinogenesis imperfecta	520.1	HP_0000703
Spina bifida	Communicating hydrocephalus	752.11	HP_0001334
Vascular hamartomas and non-neoplastic nevi	Facial hemangioma	217	HP_0000329
Abnormal movement	Progressive spastic quadriplegia	350	HP_0002478
Other chronic nonalcoholic liver disease	Microvesicular hepatic steatosis	571.5	HP_0001414
Coagulation defects	Sub-inner limiting membrane hemorrhage	286	HP_0031611
Polycythemia, secondary	Polycythemia	289.8	HP_0001901
Noninfectious disorders of lymphatic channels	Thyroid lymphangiectasia	450	HP_0008229
Incisional hernia	Hernia	550.6	HP_0100790
Thyroiditis	Thyrotoxicosis with toxic multinodular goiter	245	HP_0011785
Otosclerosis	Postlingual sensorineural hearing impairment	383	HP_0008596
Visual field defects	Centrocecal scotoma	368.4	HP_0000576
Other perinatal conditions of fetus or newborn	Oligohydramnios	656	HP_0001562
Maternal complication of pregnancy affecting fetus or newborn	Varicose veins	658	HP_0002619
Inflammatory and toxic neuropathy	Unilateral vestibular Schwannoma	357	HP_0009590
Cellulitis and abscess of fingers/toes	Paronychia	681.1	HP_0001818
Corneal opacity and other disorders of cornea	Ribbonlike corneal degeneration	364	HP_0200066
Anomalous atrioventricular excitation	Permanent junctional reciprocating tachycardia	426.4	HP_0011690
Acid-base balance disorder	Distal renal tubular acidosis	276.4	HP_0008341
Nontoxic uninodular goiter	Primary hypothyroidism	241.1	HP_0000832
Cerebral cysts	Arachnoid cyst	348.4	HP_0100702
Muscular calcification and ossification	Minicore myopathy	728.1	HP_0003789
Precocious sexual development and puberty NEC	Absence of secondary sex characteristics	259.4	HP_0008187
Chronic lymphocytic thyroiditis	Hyperthyroidism	245.21	HP_0000836
Villonodular synovitis	Polyarticular arthropathy	741.6	HP_0005195
Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	Oral leukoplakia	528	HP_0002745
Hypothyroidism NOS	Thyrotoxicosis with toxic single thyroid nodule	244.4	HP_0011786
Abnormal findings on study of brain and/or nervous system	Abnormal amplitude of light-adapted single flash electroretinogram	346	HP_0030481
Altered mental status	Intellectual disability, profound	292.4	HP_0002187
Vaginal enterocele, congenital or acquired	Vaginal hernia	618.6	HP_0100672
Benign neoplasm of parathyroid gland	Multiple central nervous system lipomas	227.2	HP_0100251
Venous/cerebrovascular complications embolism in pregnancy and the puerperium	Septic embolism	671	HP_0033553
Iron deficiency anemias	Abnormality of blood and blood-forming tissues	280	HP_0001871
Retinal vascular changes and abnomalities	Retinal arterial occlusion	362.4	HP_0025326
Osteoporosis, osteopenia and pathological fracture	Localized osteoporosis	743	HP_0040161
Visual disturbances	Homonymous hemianopia	368	HP_0030516
Dyschromia and Vitiligo	Cutis marmorata	694	HP_0000965
Dementias	Cerebral cortical hemiatrophy	290.1	HP_0100308
Stricture/obstruction of ureter	Primary obstructive megaureter	586.4	HP_4000035
Disorders of fluid, electrolyte, and acid-base balance	Renal Fanconi syndrome	276	HP_0001994
Large cell lymphoma	B-cell lymphoma	202.24	HP_0012191
Abnormal coagulation profile	Abnormality of von Willebrand factor	286.9	HP_0012146
Benign neoplasm of colon	Vagal paraganglioma	208	HP_0002886
Cardiac and circulatory congenital anomalies	Double inlet to single ventricle with common atrioventricular orifice	747	HP_0011558
Lower gastrointestinal congenital anomalies	Aplasia/Hypoplasia of the gallbladder	750.2	HP_0011466
Diseases of pancreas	Recurrent pancreatitis	577	HP_0100027
Keratoconjunctivitis sicca	Keratoconjunctivitis	370.31	HP_0001096
Fracture of ribs	Avulsion fractured humerus	807	HP_0041088
Keratoderma, acquired	Patchy palmoplantar hyperkeratosis	701.1	HP_0005588
Abnormality of red blood cells	Anisocytosis	289.9	HP_0011273
Simple and unspecified goiter	Thyroid atypical adenoma	240	HP_0011778
Other aneurysm	Fusiform ascending tubular aorta aneurysm	442	HP_0031643
Disorders of tooth development	Agenesis of mandibular central incisor	520	HP_0006355
Muscle weakness	Myofibrillar myopathy	772.3	HP_0003715
Aphasia/speech disturbance	Mutism	292.1	HP_0002300
Other retinal disorders	Retinopathy of prematurity stage 2	362	HP_0500051
Trigeminal nerve disorders [CN5]	Demyelinating peripheral neuropathy	352.1	HP_0007108
Peripheral retinal degenerations	Degenerative vitreoretinopathy	362.6	HP_0007964
Proliferative glomerulonephritis	Membranoproliferative glomerulonephritis	580.11	HP_0000793
Protein-calorie malnutrition	Disproportionate short stature	260	HP_0003498
Constipation	Abnormality of the gastrointestinal tract	563	HP_0011024
Renal osteodystrophy	Global glomerulosclerosis	588.1	HP_0004737
Nonspecific findings on examination of blood	Increased hepatitis B virus antibody level	790	HP_0410369
Respiratory conditions of fetus and newborn	Multiple bilateral pneumothoraces	656.2	HP_0005939
Other congenital musculoskeletal anomalies	Mild short stature	756	HP_0003502
Non-Hodgkins lymphoma	Chronic lymphatic leukemia	202.2	HP_0005550
Lower gastrointestinal congenital anomalies	Long-segment aganglionic megacolon	750.2	HP_0011285
Chronic pain syndrome	Hip pain	355.1	HP_0030838
Hemangioma and lymphangioma, any site	Linear nevus sebaceous	228	HP_0010817
Disorders of the orbit	Periorbital dermoid cyst	376	HP_0030668
Anterior horn cell disease	Thenar muscle atrophy	334.2	HP_0003393
Intracranial hemorrhage (injury)	Epidural hemorrhage	818	HP_0100310
Hydrocele	Congenital hydrocele	603.1	HP_4000037
Polycythemia vera	Cutaneous T-cell lymphoma	200.1	HP_0012192
Other and unspecified disorders of the nervous system	Midline central nervous system lipomas	349	HP_0006866
Abnormal results of other function studies (bladder, pancreas, placenta, spleen, etc)	Subchorionic thrombohematoma	794	HP_0030714
Other disorders of arteries and arterioles	Asymmetric abdominal aortic aneurysm	447	HP_0031711
Symptoms involving cardiovascular system	Paroxysmal tachycardia	429.3	HP_0006688
Abnormal reflex	Suck reflex	350.5	HP_0030906
Mental retardation	Motor delay	315.3	HP_0001270
Epilepsy	Generalized non-convulsive status epilepticus without coma	345.1	HP_0032860
Anterior horn cell disease	Proximal upper limb amyotrophy	334.2	HP_0008948
Coma	Abnormal circulating free T4 level	348.7	HP_0033076
Memory loss	Declarative memory loss	292.3	HP_0033692
Chronic lymphocytic thyroiditis	Decreased circulating free T3	245.21	HP_0032210
Spinocerebellar disease	Retinal telangiectasia	334.1	HP_0007763
Colorectal cancer	Appendiceal mucinous neoplasm	153	HP_0031499
Alcohol-related disorders	Constrictive median neuropathy	317	HP_0012185
Incisional hernia	Ventral hernia	550.6	HP_0002933
Toxic multinodular goiter	Accessory ectopic thyroid tissue	242.2	HP_0100030
Edema	Low-output congestive heart failure	782.3	HP_0009805
Carcinoid syndrome	Pituitary carcinoma	259.2	HP_0011763
Other disorders of metabolism	Glutaric aciduria	277	HP_0003150
Other hypertrophic cardiomyopathy	Skeletal myopathy	425.12	HP_0003756
Other immunological findings	Monoclonal elevation of IgG light chain	279.7	HP_0032292
Abnormal findings on examination of urine	Exercise-induced myoglobinuria	598	HP_0008305
Heart valve disorders	Libman-Sacks lesions	395	HP_0011714
Nerve root and plexus disorders	Demyelinating sensory neuropathy	353	HP_0011402
Short stature	Absent pubertal growth spurt	264.1	HP_0031087
Cancer of brain	Pilocytic astrocytoma	191.11	HP_0033680
Cancer of brain	Oligodendroglioma	191.11	HP_0033681
Cancer of bone and connective tissue	Leiomyosarcoma	170	HP_0100243
Fracture of upper limb	Fractured clavicle bone	803	HP_0041144
Vascular hamartomas and non-neoplastic nevi	Retinal astrocytic hamartoma	217	HP_0012778
Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	Adenocarcinoma of the intestines	159	HP_0040273
Visual disturbances	Deuteranomaly	368	HP_0011520
Disorders involving the immune mechanism	Transient decreased circulating IgD	279	HP_0033017
Perforation of tympanic membrane	Moderate conductive hearing impairment	384.4	HP_0012716
Secondary malignant neoplasm of digestive systems	Pulmonary paraglioma	198.3	HP_0100636
Strabismus and other disorders of binocular eye movements	Accommodative esotropia	378	HP_0020046
Cancer, suspected or other	Testicular pain	195	HP_0033839
Congenital anomalies of female genital organs	Streak ovary	751.11	HP_0010464
Other hereditary hemolytic anemias	Cold-induced hemolysis	282.9	HP_0031484
Keratoderma, acquired	Cobblestone-like hyperkeratosis	701.1	HP_0031288
Disorders of protein plasma/amino-acid transport and metabolism	Decreased serum complement C7	270	HP_0033058
Other forms of chronic heart disease	Restrictive cardiomyopathy	414	HP_0001723
Autoimmune hemolytic anemias	Episodic hemolytic anemia	283.1	HP_0004802
Nonsenile Cataract	Polar cataract	366.1	HP_0010696
Neoplasm of uncertain behavior	Macroprolactinoma	199	HP_0012342
Other specified congenital anomalies of nervous system	Basal ganglia cysts	752.2	HP_0006799
Wheezing	Progressive inspiratory stridor	512.1	HP_0005951
Torsion dystonia	Athetoid cerebral palsy	333.4	HP_0011445
Squamous cell carcinoma	Seborrheic keratosis	172.22	HP_0031287
Hearing loss	Paresthesia	389	HP_0003401
Benign neoplasm of spinal cord, meninges	Cerebral hamartoma	225.2	HP_0009731
Uveitis, noninfectious or NOS	Nongranulomatous uveitis	371.1	HP_0007813
Disorders of muscle, ligament, and fascia	Joint laxity	728	HP_0001388
Symptoms involving cardiovascular system	Supraventricular tachycardia with a manifest accessory pathway	429.3	HP_0011694
Type 1 diabetes with neurological manifestations	Diabetic ketoacidosis	250.14	HP_0001953
Hyperplasia of prostate	Hypoplasia of the prostate	600	HP_0008687
Degenerative disease of the spinal cord	Telangiectasia of the skin	334	HP_0100585
Macroglobulinemia	Lymphoproliferative disorder	270.35	HP_0005523
